x y z m s
2.03 3.97 3.13 45 7
2.02 3.96 3.13 45 7
2.01 3.96 3.13 45 7
2.01 3.95 3.13 45 7
2 3.95 3.13 45 7
1.99 3.94 3.13 45 7
1.99 3.94 3.13 45 7
1.98 3.93 3.14 45 7
1.98 3.93 3.14 45 7
1.97 3.93 3.14 45 7
1.97 3.93 3.14 45 7
1.96 3.93 3.14 45 7
1.96 3.93 3.14 45 7
1.95 3.93 3.13 45 7
1.95 3.93 3.13 45 7
1.94 3.93 3.13 45 8
1.94 3.94 3.13 45 8
1.94 3.94 3.13 45 8
1.94 3.94 3.13 45 8
1.94 3.95 3.13 45 8
1.94 3.95 3.13 45 8
1.94 3.96 3.13 45 8
1.94 3.97 3.13 45 8
1.95 3.97 3.13 45 8
1.95 3.98 3.13 45 8
1.95 3.99 3.13 45 8
1.96 4 3.13 45 8
1.96 4 3.13 45 8
1.96 4.01 3.13 45 8
1.97 4.02 3.13 45 8
1.97 4.02 3.13 45 9
1.98 4.03 3.13 45 9
1.98 4.03 3.12 45 9
1.99 4.04 3.12 45 9
1.99 4.05 3.12 45 9
2 4.05 3.12 45 9
2.01 4.05 3.12 45 9
2.01 4.06 3.11 45 9
2.02 4.06 3.11 45 9
2.02 4.06 3.11 45 9
2.03 4.06 3.11 45 9
2.03 4.06 3.11 45 9
2.04 4.06 3.11 45 9
2.04 4.06 3.11 45 9
2.04 4.06 3.11 45 9
2.05 4.06 3.11 45 9
2.05 4.06 3.11 45 9
2.05 4.05 3.11 45 9
2.05 4.05 3.11 45 9
2.05 4.05 3.11 45 10
2.05 4.04 3.1 45 10
2.05 4.04 3.1 45 10
2.05 4.03 3.1 45 10
2.05 4.03 3.1 45 10
2.05 4.02 3.1 45 10
2.04 4.02 3.1 45 10
2.04 4.01 3.1 45 10
2.03 4 3.1 45 10
2.03 4 3.1 45 10
2.03 3.99 3.1 45 10
2.02 3.99 3.09 45 10
2.02 3.98 3.09 45 10
2.01 3.98 3.09 45 10
2.01 3.97 3.09 45 10
2.01 3.97 3.09 45 10
2 3.97 3.09 45 10
2 3.96 3.08 45 10
1.99 3.96 3.08 45 11
1.99 3.96 3.08 45 11
1.98 3.96 3.08 45 11
1.98 3.96 3.08 45 11
1.97 3.96 3.08 45 11
1.97 3.96 3.08 45 11
1.97 3.95 3.08 45 11
1.97 3.95 3.08 45 11
1.96 3.96 3.07 45 11
1.96 3.96 3.07 45 11
1.96 3.96 3.07 45 11
1.96 3.96 3.07 45 11
1.96 3.96 3.07 45 11
1.96 3.96 3.07 45 11
1.96 3.97 3.07 45 11
1.96 3.97 3.07 45 11
1.96 3.98 3.06 45 11
1.96 3.98 3.06 45 11
1.96 3.99 3.06 45 12
1.96 3.99 3.06 45 12
1.97 4 3.06 45 12
1.97 4 3.06 45 12
1.97 4.01 3.06 45 12
1.98 4.01 3.06 45 12
1.98 4.02 3.06 45 12
1.98 4.02 3.06 45 12
1.99 4.03 3.06 45 12
1.99 4.03 3.06 45 12
2 4.03 3.06 45 12
2 4.04 3.06 45 12
2 4.04 3.06 45 12
2.01 4.04 3.06 45 12
2.01 4.05 3.06 45 12
2.01 4.05 3.06 45 12
2.02 4.05 3.06 45 13
2.02 4.05 3.05 45 13
2.02 4.05 3.05 45 13
2.03 4.06 3.05 45 13
2.03 4.06 3.05 45 13
2.03 4.06 3.05 45 13
2.04 4.06 3.05 45 13
2.04 4.05 3.05 45 13
2.04 4.05 3.05 45 13
2.04 4.05 3.05 45 13
2.04 4.05 3.05 45 13
2.04 4.05 3.05 45 13
2.04 4.04 3.05 45 13
2.04 4.04 3.05 45 13
2.04 4.03 3.04 45 14
2.04 4.03 3.04 45 14
2.04 4.02 3.04 45 14
2.03 4.02 3.04 45 14
2.03 4.01 3.04 45 14
2.03 4.01 3.04 45 14
2 3.98 3.03 45 14
2 3.98 3.03 45 14
2 3.97 3.02 45 14
2 3.97 3.02 45 14
1.99 3.96 3.03 45 14
1.99 3.96 3.03 45 14
1.98 3.96 3.03 45 15
1.98 3.95 3.03 45 15
1.98 3.95 3.03 45 15
1.98 3.95 3.02 45 15
1.97 3.95 3.02 45 15
1.97 3.95 3.02 45 15
1.97 3.95 3.02 45 15
1.97 3.95 3.02 45 15
1.97 3.95 3.02 45 15
1.97 3.95 3.02 45 15
1.97 3.96 3.02 45 15
1.97 3.96 3.02 45 15
1.97 3.96 3.02 45 15
1.97 3.96 3.02 45 15
1.97 3.97 3.02 45 15
1.97 3.97 3.02 45 15
1.98 3.97 3.02 45 16
1.98 3.98 3.02 45 16
1.98 3.98 3.02 45 16
1.98 3.98 3.02 45 16
1.98 3.99 3.02 45 16
1.99 3.99 3.02 45 16
1.99 4 3.02 45 16
1.99 4 3.02 45 16
2 4.01 3.01 45 16
2 4.01 3.01 45 16
2 4.02 3.01 45 16
2 4.02 3.01 45 16
2.01 4.02 3.01 45 16
2.01 4.03 3.02 45 16
2.01 4.03 3.02 45 16
2.01 4.03 3.02 45 16
2.01 4.03 3.02 45 17
2.02 4.04 3.02 45 17
2.02 4.04 3.02 45 17
2.02 4.04 3.02 45 17
2.02 4.04 3.02 45 17
2.02 4.04 3.02 45 17
2.02 4.04 3.02 45 17
2.02 4.03 3.02 45 17
2.02 4.03 3.02 45 17
2.02 4.03 3.02 45 17
2.02 4.02 3.02 45 17
2.02 4.02 3.02 45 17
2.02 4.02 3.02 45 17
2.02 4.02 3.02 45 17
2.02 4.01 3.02 45 17
2.02 4.01 3.02 45 17
2.01 4.01 3.02 45 17
2.01 4.01 3.02 45 18
2.01 4 3.02 45 18
2.01 4 3.02 45 18
2.01 4 3.02 45 18
2.01 4 3.02 45 18
2.01 3.99 3.02 45 18
2.01 3.99 3.02 45 18
2.01 3.99 3.02 45 18
2 3.99 3.02 45 18
2 3.99 3.02 45 18
2 3.98 3.01 45 18
2 3.98 3.01 45 18
2 3.98 3.01 45 18
2 3.98 3.01 45 18
2 3.98 3.01 45 18
2 3.98 3.01 45 18
2 3.98 3.01 45 18
2 3.98 3.01 45 18
2 3.98 3.01 45 18
2 3.98 3.01 45 19
2 3.98 3.01 45 19
1.99 3.98 3.01 45 19
1.99 3.98 3.01 45 19
1.99 3.98 3.01 45 19
1.99 3.98 3.01 45 19
1.99 3.98 3.01 45 19
1.99 3.98 3.01 45 19
1.99 3.99 3.01 45 19
1.99 3.99 3.01 45 19
1.99 3.99 3.01 45 19
1.99 3.99 3.01 45 19
1.99 3.99 3.01 45 19
1.99 3.99 3.01 45 19
1.99 4 3.01 45 19
1.99 4 3.01 45 19
1.99 4 3.01 45 19
1.99 4 3.01 45 20
1.99 4 3.01 45 20
1.99 4.01 3.01 45 20
1.99 4.01 3.01 45 20
1.99 4.01 3.01 45 20
1.99 4.01 3.01 45 20
2 4.01 3.01 45 20
2 4.02 3.01 45 20
2 4.02 3.01 45 20
2 4.02 3.01 45 20
2 4.02 3.01 45 20
2 4.02 3.01 45 20
2 4.03 3.01 45 20
2 4.03 3.01 45 20
2 4.03 3.01 45 20
2 4.03 3.01 45 20
2 4.03 3.01 45 21
2 4.03 3.01 45 21
2.01 4.03 3.01 45 21
2.01 4.03 3.01 45 21
2.01 4.02 3.01 45 21
2.01 4.02 3.01 45 21
2.01 4.02 3.01 45 21
2.01 4.02 3.01 45 21
2.01 4.02 3.01 45 21
2.01 4.01 3.01 45 21
2.01 4.01 3.01 45 21
2.01 4.01 3.01 45 21
2.01 4.01 3 45 21
2 4 3 45 21
2 4 3 45 21
2 4 3 45 21
2 3.99 3 45 21
2 3.99 3 45 21
2 3.99 3.01 45 22
2 3.99 3.01 45 22
2 3.98 3.01 45 22
2 3.98 3.01 45 22
2 3.98 3.01 45 22
2 3.98 3.01 45 22
2 3.97 3.01 45 22
2 3.97 3.01 45 22
2 3.97 3.01 45 22
2 3.97 3.01 45 22
2 3.97 3.01 45 22
